/home/yiwangchunyu/anaconda3/envs/dl/bin/python /home/yiwangchunyu/Nextcloud/FDU/课业/机器学习理论/projects/final/code/jiont/train.py
model saved, 0.561404,0.011862
Epoch: 0/1000, train loss:0.834192, test loss:1.293779, train_acc=1811/2880=0.628819, test_acc=640/1140=0.561404, best_acc=0.561404, train_mae:0.091756, test_mae:0.011862
model saved, 0.585088,0.011735
Epoch: 1/1000, train loss:0.656742, test loss:0.682298, train_acc=1885/2880=0.654514, test_acc=667/1140=0.585088, best_acc=0.585088, train_mae:0.010903, test_mae:0.011735
Epoch: 2/1000, train loss:0.644673, test loss:0.954198, train_acc=1938/2880=0.672917, test_acc=634/1140=0.556140, best_acc=0.585088, train_mae:0.012162, test_mae:0.011883
Epoch: 3/1000, train loss:0.646541, test loss:0.886834, train_acc=1880/2880=0.652778, test_acc=629/1140=0.551754, best_acc=0.585088, train_mae:0.012327, test_mae:0.011883
Epoch: 4/1000, train loss:0.642176, test loss:0.920149, train_acc=1914/2880=0.664583, test_acc=653/1140=0.572807, best_acc=0.585088, train_mae:0.012339, test_mae:0.011869
Epoch: 5/1000, train loss:0.629873, test loss:1.163594, train_acc=1947/2880=0.676042, test_acc=629/1140=0.551754, best_acc=0.585088, train_mae:0.012356, test_mae:0.011909
Epoch: 6/1000, train loss:0.595819, test loss:0.722213, train_acc=1996/2880=0.693056, test_acc=686/1140=0.601754, best_acc=0.601754, train_mae:0.012362, test_mae:0.011911
Epoch: 7/1000, train loss:0.635694, test loss:1.730473, train_acc=1982/2880=0.688194, test_acc=640/1140=0.561404, best_acc=0.601754, train_mae:0.012344, test_mae:0.011869
Epoch: 8/1000, train loss:0.647494, test loss:0.747658, train_acc=1906/2880=0.661806, test_acc=673/1140=0.590351, best_acc=0.601754, train_mae:0.012345, test_mae:0.011847
Epoch: 9/1000, train loss:0.625262, test loss:0.967569, train_acc=1981/2880=0.687847, test_acc=654/1140=0.573684, best_acc=0.601754, train_mae:0.012319, test_mae:0.011860
Epoch: 10/1000, train loss:0.605500, test loss:0.680630, train_acc=2006/2880=0.696528, test_acc=669/1140=0.586842, best_acc=0.601754, train_mae:0.012308, test_mae:0.011850
Epoch: 11/1000, train loss:0.583137, test loss:0.722942, train_acc=2080/2880=0.722222, test_acc=684/1140=0.600000, best_acc=0.601754, train_mae:0.012317, test_mae:0.011842
Epoch: 12/1000, train loss:0.576983, test loss:7.285434, train_acc=2045/2880=0.710069, test_acc=505/1140=0.442982, best_acc=0.601754, train_mae:0.012300, test_mae:0.011836
Epoch: 13/1000, train loss:0.539969, test loss:0.534901, train_acc=2149/2880=0.746181, test_acc=829/1140=0.727193, best_acc=0.727193, train_mae:0.012294, test_mae:0.011826
Epoch: 14/1000, train loss:0.535898, test loss:7.310188, train_acc=2169/2880=0.753125, test_acc=509/1140=0.446491, best_acc=0.727193, train_mae:0.012261, test_mae:0.011821
Epoch: 15/1000, train loss:0.548785, test loss:0.705749, train_acc=2128/2880=0.738889, test_acc=701/1140=0.614912, best_acc=0.727193, train_mae:0.012247, test_mae:0.011805
Epoch: 16/1000, train loss:0.505043, test loss:0.505921, train_acc=2238/2880=0.777083, test_acc=877/1140=0.769298, best_acc=0.769298, train_mae:0.012242, test_mae:0.011799
Epoch: 17/1000, train loss:0.498897, test loss:1.287701, train_acc=2255/2880=0.782986, test_acc=674/1140=0.591228, best_acc=0.769298, train_mae:0.012192, test_mae:0.011782
Epoch: 18/1000, train loss:0.534144, test loss:0.989587, train_acc=2164/2880=0.751389, test_acc=614/1140=0.538596, best_acc=0.769298, train_mae:0.012158, test_mae:0.011756
Epoch: 19/1000, train loss:0.565172, test loss:0.877060, train_acc=2117/2880=0.735069, test_acc=647/1140=0.567544, best_acc=0.769298, train_mae:0.012122, test_mae:0.011730
Epoch: 20/1000, train loss:0.520085, test loss:11.177859, train_acc=2216/2880=0.769444, test_acc=640/1140=0.561404, best_acc=0.769298, train_mae:0.012069, test_mae:0.011638
Epoch: 21/1000, train loss:0.500774, test loss:2.124682, train_acc=2281/2880=0.792014, test_acc=660/1140=0.578947, best_acc=0.769298, train_mae:0.012024, test_mae:0.011675
Epoch: 22/1000, train loss:0.465881, test loss:2.841707, train_acc=2329/2880=0.808681, test_acc=600/1140=0.526316, best_acc=0.769298, train_mae:0.011973, test_mae:0.011598
Epoch: 23/1000, train loss:0.478433, test loss:2.168170, train_acc=2288/2880=0.794444, test_acc=679/1140=0.595614, best_acc=0.769298, train_mae:0.011830, test_mae:0.011551
Epoch: 24/1000, train loss:0.494946, test loss:2.747053, train_acc=2305/2880=0.800347, test_acc=586/1140=0.514035, best_acc=0.769298, train_mae:0.011829, test_mae:0.011343
Epoch: 25/1000, train loss:0.467433, test loss:1.482287, train_acc=2322/2880=0.806250, test_acc=625/1140=0.548246, best_acc=0.769298, train_mae:0.011703, test_mae:0.011320
Epoch: 26/1000, train loss:0.450987, test loss:5.100581, train_acc=2340/2880=0.812500, test_acc=540/1140=0.473684, best_acc=0.769298, train_mae:0.011640, test_mae:0.011295
Epoch: 27/1000, train loss:0.409081, test loss:6.331659, train_acc=2393/2880=0.830903, test_acc=531/1140=0.465789, best_acc=0.769298, train_mae:0.011590, test_mae:0.011184
Epoch: 28/1000, train loss:0.430739, test loss:0.884750, train_acc=2385/2880=0.828125, test_acc=763/1140=0.669298, best_acc=0.769298, train_mae:0.011328, test_mae:0.011021
Epoch: 29/1000, train loss:0.487983, test loss:1.721549, train_acc=2261/2880=0.785069, test_acc=632/1140=0.554386, best_acc=0.769298, train_mae:0.011225, test_mae:0.010974
Epoch: 30/1000, train loss:0.492161, test loss:4.506839, train_acc=2261/2880=0.785069, test_acc=545/1140=0.478070, best_acc=0.769298, train_mae:0.011119, test_mae:0.010744
Epoch: 31/1000, train loss:0.485326, test loss:1.872745, train_acc=2243/2880=0.778819, test_acc=627/1140=0.550000, best_acc=0.769298, train_mae:0.010950, test_mae:0.010558
